회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
인스웨이브시스템즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,22년 (2002년 설립),315억 610만원,주식회사,"5,614만원",www.inswave.com,1개,0명,164명,20명/37명
우듬지팜,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,13년 (2011년 설립),-,주식회사,"3,040만원",www.wdgfarm.com,1개,48명,58명,33명/43명
코어라인소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"21억 5,069만원",주식회사,"10,726만원",www.corelinesoft.com,1개,94명,101명,20명/28명
STX그린로지스,-,1년 (2023년 설립),-,주식회사,-,www.stxgreenlogis.co.kr/,1개,8명,-,-
율촌,포장용 플라스틱제품 제조업,51년 (1973년 설립),-,주식회사,-,www.youlchon.com,1개,76명,-,-
크라우드웍스,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"84억 9,281만원",주식회사,"5,073만원",www.crowdworks.kr,1개,169명,180명,237명/223명
한국피아이엠,자동차용 기타 신품 부품 제조업,23년 (2001년 설립),-,주식회사,"5,361만원",www.pimkorea.com,1개,99명,82명,18명/21명
시큐레터,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"19억 1,884만원",주식회사,"5,389만원",www.seculetter.com/,1개,50명,43명,19명/6명
스마트레이더시스템,공학 연구개발업,7년 (2017년 설립),"34억 8,535만원",주식회사,"7,004만원",www.smartradarsystem.com,1개,59명,56명,19명/13명
넥스틸,"냉ㆍ난방장치 및 철물, 수공구 도매업",14년 (2010년 설립),-,기타 법인,"5,852만원",-,1개,1명,3명,0명/1명
코츠테크놀로지,"컴퓨터 시스템 통합 자문, 구축 및 관리업",25년 (1999년 설립),"318억 9,897만원",주식회사,"4,893만원",www.cotstech.com/,1개,149명,145명,29명/29명
큐리옥스바이오시스템즈,자연과학 연구개발업,6년 (2018년 설립),-,주식회사,"5,191만원",curiox.co.kr/,1개,21명,25명,5명/7명
NICE평가정보,"컴퓨터 시스템 통합 자문, 구축 및 관리업",39년 (1985년 설립),"4,229억 6,807만원",주식회사,"10,119만원",www.niceinfo.co.kr,1개,789명,747명,210명/174명
파두,공학 연구개발업,9년 (2015년 설립),"51억 5,681만원",주식회사,"17,792만원",www.fadu.io/,1개,236명,275명,46명/78명
엠아이큐브솔루션,시스템ㆍ응용 소프트웨어 개발 및 공급업,19년 (2005년 설립),"170억 3,966만원",주식회사,"4,661만원",www.micube.co.kr,1개,182명,244명,51명/88명
시지트로닉스,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",16년 (2008년 설립),-,주식회사,"3,512만원",sigetronics.com,1개,74명,78명,16명/21명
에피바이오텍,자연과학 연구개발업,9년 (2015년 설립),"4억 4,900만원",주식회사,"3,979만원",epibiotech.com/,1개,29명,14명,21명/7명
조선내화,일반 건축자재 도매업,77년 (1947년 설립),"4,394억 3,676만원",주식회사,"6,417만원",www.chosunref.co.kr,2개,96명,28명,224명/20명
에이엘티,그 외 기타 사업 지원 서비스업,6년 (2018년 설립),-,기타 법인,"2,789만원",-,1개,2명,4명,0명/0명
파로스아이바이오,컴퓨터 프로그래밍 서비스업,8년 (2016년 설립),-,주식회사,"5,593만원",www.pharosibio.com/,1개,21명,35명,9명/12명
길교이앤씨,구조용 금속제품 제조업,20년 (2004년 설립),"153억 7,409만원",주식회사,"6,525만원",길교.com,3개,42명,34명,10명/13명
버넥트,그 외 기타 정보 서비스업,8년 (2016년 설립),"45억 4,103만원",주식회사,"7,514만원",www.virnect.com,1개,170명,132명,32명/41명
뷰티스킨,"세제, 화장품 및 광택제 제조업",13년 (2011년 설립),"411억 6,370만원",주식회사,"3,162만원",beautyskincorp.co.kr/,1개,132명,119명,42명/43명
와이랩,서적 출판업,14년 (2010년 설립),"210억 5,271만원",주식회사,"5,381만원",ylabcomics.com,1개,0명,119명,42명/40명
센서뷰,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",31년 (1993년 설립),327억 887만원,주식회사,비공개,www.tescomwireless.com,1개,156명,146명,27명/16명
아이엠지티,자연과학 연구개발업,14년 (2010년 설립),1억 233만원,주식회사,"6,910만원",www.imgt.co.kr/,1개,31명,31명,8명/6명
필에너지,가공 공작기계 제조업,4년 (2020년 설립),"1,651억 5,196만원",주식회사,"4,577만원",philenergy.co.kr,1개,246명,303명,43명/93명
이노시뮬레이션,엔지니어링 서비스업,24년 (2000년 설립),"138억 6,745만원",주식회사,"5,557만원",www.innosim.com,1개,81명,96명,26명/32명
이브이파킹서비스,기타 산업용 기계 및 장비 임대업,3년 (2021년 설립),89억 230만원,주식회사,"5,141만원",evps.co.kr/,1개,16명,10명,27명/21명
알멕,자동차용 기타 신품 부품 제조업,3년 (2021년 설립),-,기타 법인,"5,297만원",-,1개,35명,29명,11명/6명
오픈놀,게임 소프트웨어 개발 및 공급업,12년 (2012년 설립),"108억 6,642만원",주식회사,"3,270만원",openknowl.com,1개,105명,143명,72명/85명
시큐센,시스템ㆍ응용 소프트웨어 개발 및 공급업,13년 (2011년 설립),"395억 1,600만원",주식회사,"5,617만원",www.secucen.com/,1개,60명,80명,21명/21명
가이아코퍼레이션,"게임용구, 인형 및 장난감 소매업",14년 (2010년 설립),-,주식회사,"3,293만원",gaiabiz.co.kr/,1개,86명,99명,38명/48명
비에이치,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,주식회사,"5,932만원",-,1개,24명,57명,13명/38명
동국씨엠,유리 및 창호 공사업,1년 (2023년 설립),-,주식회사,-,www.dongkukcm.com,2개,144명,-,-
동국제강,"철강 압연, 압출 및 연신제품 제조업",17년 (2007년 설립),-,기타 법인,"6,032만원",-,1개,258명,407명,29명/182명
프로티아,자연과학 연구개발업,24년 (2000년 설립),"76억 4,400만원",주식회사,"3,307만원",www.protia.co.kr,1개,83명,80명,13명/15명
큐라티스,자연과학 연구개발업,8년 (2016년 설립),84억 944만원,주식회사,"4,879만원",quratis.com,2개,95명,69명,34명/34명
마녀공장,"의약품, 의료용 기구, 화장품 및 방향제 소매업",12년 (2012년 설립),"626억 2,041만원",주식회사,"5,611만원",www.manyo.co.kr,1개,82명,97명,24명/30명
나라셀라,음료 및 담배 도매업,34년 (1990년 설립),"889억 4,326만원",주식회사,"4,568만원",www.naracellar.com/,1개,238명,244명,229명/254명
진영,절연선 및 케이블 제조업,24년 (2000년 설립),-,주식회사,"5,110만원",-,1개,43명,26명,12명/7명
이수스페셜티케미컬,기초 유기화학 물질 제조업,1년 (2023년 설립),-,주식회사,"6,032만원",www.isuspecialtychemical.com,1개,186명,246명,11명/67명
OCI,,,,,,,,,,
기가비스,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",20년 (2004년 설립),"439억 7,315만원",주식회사,"8,310만원",www.gigavis.com,1개,97명,122명,9명/22명
팸텍,기타 건축자재 도매업,21년 (2003년 설립),-,기타 법인,"5,852만원",-,1개,5명,5명,0명/0명
모니터랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,19년 (2005년 설립),"120억 1,400만원",주식회사,"4,882만원",www.monitorapp.com,1개,93명,97명,21명/28명
씨유박스,통신 공사업,14년 (2010년 설립),168억 702만원,주식회사,"5,691만원",http://www.cubox.ai,2개,119명,132명,45명/53명
큐라켐,자연과학 연구개발업,15년 (2009년 설립),"68억 8,443만원",주식회사,"5,086만원",www.curachem.com,1개,30명,29명,4명/3명
트루엔,"텔레비전, 비디오 및 기타 영상 기기 제조업",19년 (2005년 설립),"359억 8,031만원",주식회사,"6,499만원",truen.co.kr,1개,95명,104명,30명/39명
삼미금속,"금속류 해체, 선별 및 원료 재생업",1년 (2023년 설립),-,기타 법인,"4,905만원",-,1개,4명,4명,1명/1명
에스바이오메딕스,자연과학 연구개발업,21년 (2003년 설립),"1억 5,422만원",주식회사,"4,970만원",www.sbiomedics.com/,1개,55명,56명,7명/5명
슈어소프트테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,22년 (2002년 설립),332억 256만원,주식회사,"5,082만원",www.suresofttech.com/,1개,382명,431명,86명/152명
토마토시스템,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),"228억 5,612만원",주식회사,"4,515만원",tomatosystem.co.kr/,1개,216명,218명,30명/51명
마이크로투나노,유선 통신장비 제조업,24년 (2000년 설립),-,주식회사,"5,224만원",micro2nano.com,1개,127명,130명,25명/24명
셀바이오휴먼텍,그 외 기타 섬유제품 제조업,9년 (2015년 설립),-,주식회사,"5,693만원",cellbiohumantech.co.kr/,1개,65명,58명,18명/12명
노보믹스,"의약품, 의료용품 및 화장품 도매업",14년 (2010년 설립),-,주식회사,"5,895만원",novomics.com/,1개,28명,18명,11명/3명
현대그린푸드,대형 종합 소매업,56년 (1968년 설립),-,주식회사,"4,037만원",https://www.hyundaigfholdings.co.kr/web/html/ko/CI,1개,"1,181명",91명,38명/103명
한화갤러리아,대형 종합 소매업,45년 (1979년 설립),-,주식회사,"4,976만원",www.timeworld.co.kr,1개,231명,221명,16명/9명
지아이이노베이션,자연과학 연구개발업,7년 (2017년 설립),56억원,주식회사,"8,929만원",www.gi-innovation.com/kr/,1개,73명,82명,14명/11명
엑스게이트,시스템ㆍ응용 소프트웨어 개발 및 공급업,14년 (2010년 설립),"382억 9,925만원",주식회사,"6,832만원",www.axgate.com,1개,134명,145명,19명/30명
금양그린파워,건설장비 운영업,31년 (1993년 설립),-,주식회사,"3,225만원",www.kygp.co.kr,2개,613명,103명,128명/92명
라온텍,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,9년 (2015년 설립),-,기타 법인,"3,436만원",-,1개,1명,3명,0명/0명
자람테크놀로지,재생용 재료 및 기타 상품 전문 도매업,24년 (2000년 설립),"161억 1,800만원",주식회사,"5,948만원",zaram.com,1개,43명,62명,12명/21명
나노팀,그 외 기타 화학제품 제조업,8년 (2016년 설립),"384억 5,661만원",주식회사,"4,095만원",www.nanotim.co.kr,1개,91명,102명,31명/30명
바이오인프라,자연과학 연구개발업,17년 (2007년 설립),"354억 2,736만원",주식회사,"5,203만원",bioinfrakorea.co.kr,1개,113명,132명,39명/64명
이노진,"의약품, 의료용품 및 화장품 도매업",19년 (2005년 설립),"93억 8,501만원",주식회사,"3,520만원",www.innogene.com/,1개,41명,47명,14명/13명
화인써키트,인쇄회로기판 및 전자부품 실장기판 제조업,33년 (1991년 설립),-,주식회사,"3,596만원",finecircuit.co.kr/,1개,112명,106명,41명/47명
샌즈랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,20년 (2004년 설립),"92억 9,900만원",주식회사,"3,171만원",www.sandslab.io,1개,34명,44명,20명/29명
꿈비,"인형, 장난감 및 오락용품 제조업",10년 (2014년 설립),"208억 5,082만원",주식회사,"3,957만원",ggumbi.com/,1개,73명,82명,23명/28명
스튜디오미르,"영화, 비디오물 및 방송 프로그램 제작업",14년 (2010년 설립),"143억 8,961만원",주식회사,"5,170만원",www.studiomir.co.kr/,1개,193명,135명,99명/40명
삼기이브이,자동차 차체용 신품 부품 제조업,4년 (2020년 설립),-,주식회사,"5,932만원",ev.samkee.com,3개,70명,58명,20명/28명
오브젠,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),"259억 3,338만원",주식회사,"6,946만원",obzen.com,1개,178명,157명,35명/16명
미래반도체,상품 종합 도매업,28년 (1996년 설립),"3,280억 4,644만원",주식회사,"6,711만원",www.miraisemi.co.kr/,1개,30명,31명,7명/6명
지슨,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),"137억 6,186만원",주식회사,"5,516만원",www.gitsn.com,2개,85명,94명,14명/31명
태양3C,절연선 및 케이블 제조업,36년 (1988년 설립),"626억 5,200만원",주식회사,"3,695만원",www.tae-yang.co.kr/,1개,158명,157명,20명/30명
티이엠씨,기초 무기화학 물질 제조업,4년 (2020년 설립),-,기타 법인,"5,852만원",-,1개,6명,8명,0명/0명
한주라이트메탈,자동차 차체용 신품 부품 제조업,37년 (1987년 설립),-,주식회사,"6,347만원",www.hanjoolightmetal.com,1개,315명,300명,42명/39명
옵티코어,방송 및 무선 통신장비 제조업,8년 (2016년 설립),"241억 9,858만원",주식회사,"6,443만원",www.opticore.co.kr/,1개,9명,51명,16명/12명
아이오바이오,기타 의료용 기기 제조업,13년 (2011년 설립),"11억 9,100만원",주식회사,"4,266만원",www.aiobio.co.kr/,1개,33명,46명,11명/25명
타이드,시스템ㆍ응용 소프트웨어 개발 및 공급업,1년 (2023년 설립),-,주식회사,"3,969만원",-,1개,1명,8명,2명/4명
신스틸,"금속 열처리, 도금 및 기타 금속 가공업",16년 (2008년 설립),-,주식회사,"4,868만원",www.shin-steel.com,1개,42명,54명,11명/17명
지에프씨생명과학,"세제, 화장품 및 광택제 제조업",4년 (2020년 설립),-,주식회사,"4,556만원",-,1개,11명,12명,3명/4명
카이바이오텍,자연과학 연구개발업,12년 (2012년 설립),"44억 8,400만원",주식회사,"3,623만원",www.kaibiotech.com/,1개,11명,12명,3명/2명
바이오노트,-,21년 (2003년 설립),"6,200억 4,606만원",주식회사,"5,989만원",www.bionote.co.kr,1개,323명,305명,55명/38명
마이크로엔엑스,기타 의료용 기기 제조업,23년 (2001년 설립),-,주식회사,"3,395만원",www.micronx.co.kr,1개,72명,54명,13명/11명
애니메디솔루션,자연과학 연구개발업,8년 (2016년 설립),"6억 5,539만원",주식회사,"4,273만원",www.anymedi.com/,1개,52명,30명,35명/14명
핑거스토리,그 외 기타 정보 서비스업,6년 (2018년 설립),-,주식회사,"5,053만원",www.mootoon.co.kr,1개,11명,19명,0명/1명
아하,건물설비 설치 공사업,6년 (2018년 설립),"17억 8,928만원",기타 법인,"5,034만원",https://www.ahha.ai,2개,40명,43명,15명/16명
에이아이더뉴트리진,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,기타 법인,"4,606만원",-,1개,49명,58명,23명/26명
유니드비티플러스,"박판, 합판 및 강화 목제품 제조업",2년 (2022년 설립),-,기타 법인,"6,032만원",-,1개,163명,109명,5명/3명
펨트론,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",22년 (2002년 설립),"577억 3,650만원",주식회사,"5,273만원",www.pemtron.com,2개,184명,218명,29명/48명
인벤티지랩,공학 연구개발업,9년 (2015년 설립),"37억 2,368만원",주식회사,"5,360만원",www.inventagelab.com,1개,64명,72명,20명/21명
