회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
알고케어,자연과학 연구개발업,5년 (2019년 설립),-,,"5,376만원",-,1개,27명,,
젠테,"가방, 시계, 안경 및 기타 생활용품 도매업",4년 (2020년 설립),"131억 9,340만원",주식회사,"3,509만원",-,1개,57명,77명,47명/50명
피카디,시스템ㆍ응용 소프트웨어 개발 및 공급업,1년 (2023년 설립),-,주식회사,"2,868만원",-,1개,1명,4명,2명/1명
브라이트에너지파트너스,발전업,6년 (2018년 설립),"46억 4,499만원",주식회사,"5,932만원",-,1개,26명,83명,7명/36명
인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"37억 8,791만원",기타 법인,"4,625만원",http://interxlab.com/,1개,73명,109명,34명/69명
케어링,기타 비거주 복지 서비스업,5년 (2019년 설립),"113억 3,159만원",,"4,155만원",-,1개,70명,,
닥터나우,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"5,914만원",주식회사,"5,882만원",-,1개,62명,48명,24명/12명
위허들링,,,,,,,,,,
클라썸,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"4억 3,500만원",주식회사,"5,219만원",-,2개,52명,61명,30명/35명
마켓보로,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"9억 5,700만원",주식회사,"5,341만원",-,1개,77명,83명,29명/12명
아임웹,그 외 기타 정보 서비스업,11년 (2013년 설립),"120억 2,272만원",주식회사,"5,707만원",-,1개,98명,115명,42명/57명
탈잉,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),75억 534만원,주식회사,"3,281만원",-,1개,56명,23명,8명/16명
미소,고용 알선업,9년 (2015년 설립),"43억 4,781만원",유한회사,"3,349만원",-,1개,101명,188명,173명/266명
패스트포워드,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),1억 43만원,주식회사,"5,852만원",-,1개,28명,8명,21명/2명
스픽이지랩스코리아,광고 대행업,4년 (2020년 설립),-,주식회사,"4,534만원",-,1개,18명,23명,16명/22명
제로엑스플로우,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),-,,-,-,1개,10명,,
리빌더에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,주식회사,"4,313만원",-,1개,17명,18명,27명/26명
고위드,경영 컨설팅 및 공공 관계 서비스업,9년 (2015년 설립),"6억 2,141만원",주식회사,"5,087만원",-,1개,48명,31명,33명/13명
이팝소프트,컴퓨터 프로그래밍 서비스업,5년 (2019년 설립),"48억 6,118만원",주식회사,"5,428만원",-,1개,29명,58명,8명/25명
리벨리온,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,기타 법인,"6,032만원",-,1개,51명,135명,13명/62명
더스윙,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"208억 9,608만원",주식회사,"4,545만원",-,1개,74명,63명,56명/52명
원티드랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"316억 9,921만원",주식회사,"6,710만원",,2개,168명,175명,48명/38명
더파운더즈,통신 판매업,7년 (2017년 설립),"299억 3,920만원",,"4,837만원",-,1개,118명,,
메라키플레이스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"4,973만원",-,1개,18명,21명,24명/26명
카카오스타일,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"652억 2,341만원",,"5,518만원",-,1개,505명,,
정육각,육류 가공 및 저장 처리업,8년 (2016년 설립),"401억 1,572만원",주식회사,"4,116만원",-,1개,261명,117명,52명/27명
모요,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"5,882만원",-,1개,26명,33명,19명/26명
오누이,그 외 기타 정보 서비스업,8년 (2016년 설립),191억 924만원,주식회사,"4,298만원",-,1개,95명,69명,87명/54명
코드잇,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"44억 3,410만원",주식회사,"5,053만원",-,1개,40명,113명,25명/99명
아하앤컴퍼니,기술 및 직업 훈련학원,9년 (2015년 설립),-,주식회사,"5,852만원",-,1개,23명,23명,4명/12명
운칠기삼,그 외 기타 정보 서비스업,7년 (2017년 설립),"50억 4,974만원",주식회사,"4,793만원",-,1개,49명,56명,17명/21명
오피지지,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"97억 5,693만원",주식회사,"5,584만원",-,1개,86명,60명,29명/7명
이제이엠컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,,"2,178만원",-,1개,10명,,
오피앤,그 외 기타 정보 서비스업,3년 (2021년 설립),-,,-,-,1개,5명,,
타인에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,,"3,509만원",-,1개,13명,,
직방,시스템ㆍ응용 소프트웨어 개발 및 공급업,14년 (2010년 설립),비공개,주식회사,비공개,https://company.zigbang.com,1개,비공개,비공개,비공개
링글잉글리시에듀케이션서비스,일반 교습학원,9년 (2015년 설립),"105억 7,336만원",주식회사,"5,764만원",-,1개,58명,41명,27명/10명
법틀,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"8억 4,049만원",기타 법인,"4,127만원",-,1개,16명,27명,8명/15명
휴먼스케이프,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"23억 7,148만원",주식회사,"5,536만원",-,1개,89명,94명,37명/37명
비즈니스캔버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,주식회사,"5,729만원",-,1개,29명,28명,10명/8명
콜버스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"6억 7,430만원",주식회사,"4,860만원",https://callbuslab.insight.wanted.co.kr/,1개,14명,22명,8명/14명
여기어때컴퍼니,그 외 기타 정보 서비스업,9년 (2015년 설립),"2,049억 1,284만원",주식회사,"5,930만원",-,1개,576명,594명,100명/139명
에이비제트,그 외 기타 정보 서비스업,5년 (2019년 설립),-,주식회사,"3,965만원",-,1개,8명,13명,1명/6명
트레바리,기타 창작 및 예술관련 서비스업,5년 (2019년 설립),"12억 9,856만원",주식회사,"3,686만원",-,1개,66명,27명,20명/16명
그리티,의복 소매업,25년 (1999년 설립),"1,041억 1,638만원",주식회사,"6,069만원",www.gritees.com,1개,105명,114명,21명/21명
데이터노우즈,그 외 기타 정보 서비스업,5년 (2019년 설립),"1억 9,059만원",주식회사,"5,852만원",-,1개,27명,23명,28명/9명
윌로그,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,기타 법인,"5,882만원",-,1개,25명,48명,22명/38명
오아시스,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"2,224만원",주식회사,"5,304만원",-,1개,14명,24명,17명/19명
피알앤디컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"389억 7,258만원",주식회사,"5,147만원",-,1개,72명,113명,14명/49명
밀리의서재,그 외 기타 정보 서비스업,8년 (2016년 설립),"288억 5,698만원",주식회사,"5,507만원",www.millie.co.kr/v3/brand/update,2개,150명,170명,56명/79명
퓨리오사에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),-,기타 법인,"6,032만원",-,1개,64명,124명,10명/34명
왓챠,시스템ㆍ응용 소프트웨어 개발 및 공급업,13년 (2011년 설립),"662억 6,034만원",주식회사,"5,114만원",-,2개,116명,87명,67명/40명
누비랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),19억 957만원,주식회사,"5,266만원",-,1개,38명,56명,31명/36명
