회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
우리엔터프라이즈,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",5년 (2019년 설립),-,주식회사,"3,603만원",-,1개,8명,4명,9명/3명
대원제약,기초 의약 물질 및 생물학적 제제 제조업,63년 (1961년 설립),"3,390억 7,595만원",주식회사,"8,932만원",www.daewonpharm.com,4개,648명,"1,271명",171명/291명
한국가스공사,연료용 가스 제조 및 배관공급업,41년 (1983년 설립),"26조 1,567억 7,152만원",기타 법인,"9,089만원",www.kogas.or.kr,1개,"4,230명","4,093명",267명/339명
네패스,그 외 기타 화학제품 제조업,34년 (1990년 설립),"3,454억 5,927만원",주식회사,"4,312만원",www.nepes.co.kr,1개,961명,"1,088명",357명/398명
인지디스플레,자동차 차체용 신품 부품 제조업,32년 (1992년 설립),"2,585억 6,748만원",주식회사,"6,012만원",www.inzidisplay.co.kr,1개,252명,245명,46명/32명
위지트,기타 일반 목적용 기계 제조업,27년 (1997년 설립),308억 387만원,주식회사,"4,407만원",www.wizit.co.kr,1개,139명,163명,30명/45명
유니셈,,,,,,,,,,
유성티엔에스,-,7년 (2017년 설립),-,기타 법인,"2,615만원",-,1개,20명,18명,4명/14명
코리아나,기타 무점포 소매업,36년 (1988년 설립),-,주식회사,"4,822만원",www.coreana.co.kr,1개,0명,165명,49명/47명
골드앤에스,,,,,,,,,,
서울전자통신,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",41년 (1983년 설립),-,주식회사,"6,448만원",www.seoulset.com,1개,80명,58명,20명/16명
예림당,서적 출판업,7년 (2017년 설립),-,기타 법인,"4,408만원",-,1개,8명,8명,0명/0명
미래아이앤지,시스템ㆍ응용 소프트웨어 개발 및 공급업,53년 (1971년 설립),-,주식회사,"5,429만원",www.miraeing.co.kr,1개,43명,40명,4명/5명
